author,dates,likes,Comments
@Ruangguru,2024-07-03T06:39:10Z,1448,"Yuk, konsultasi dan klaim diskonnya sekarang di https://bit.ly/KlaimDiskonCOC"
@rizkifaisal5864,2024-07-14T05:31:54Z,0,Ada UPI gak sih
@widyawid688,2024-07-14T05:31:50Z,1,Semoga anak2ku kelak  bisa berprestasi kayak mereka ya Allah ❤
@AswandiRedmi,2024-07-14T05:23:24Z,0,Vibes nya kayak main squid game dah
@jovitaitalianahimady432,2024-07-14T05:15:47Z,0,KEREN ABIS❤️🔥
@JessicaMada-if7fi,2024-07-14T05:14:08Z,0,Ni baru tontonan bermutu semoga banyak lagi acara seperti ini
@Daisy-ct4kj,2024-07-14T05:10:58Z,0,sukak bgt acara kya gini 🤩
@galihramadhan5775,2024-07-14T05:09:08Z,0,Orang yang ga pinter tapi seneng nontonin orang pinter = bijak✨
@D0N_GAME,2024-07-14T04:51:16Z,0,Ajing keren ni buat ningkatin semangat belajar....keren pokoknya
@DeviNosar,2024-07-14T04:50:05Z,0,"Iya bgt mak, liat begini aja uda bangga, padahal bukan emak nya 😂"
@ch4nyeol,2024-07-14T04:44:53Z,0,Naksir bgt sama brian 🥵
@aijazgaming8636,2024-07-14T04:41:49Z,0,Gk ada kampus gw.. cobalah ada gtu
@umbleee23,2024-07-14T04:41:03Z,0,"Kalo ada yg hujat, itu orang kebangetan dan harusnya berkaca diri. Mereka aset berharga Negeri ini. Mereka udh membanggakan negara ini dgn kontribusinya dlm pendidikan. Lah kalo yg hujat hmm."
@PutrianaDyahAyu,2024-07-14T04:27:23Z,1,sadar gasi menit 38.41 udh ada axel dari NUS 😂
@UCED2904,2024-07-14T04:24:39Z,1,Ini seru ni... Jaman skolah dlu paling suka sma guru yg suka ngasih2 challenge kyak gini.. Jadi kliatan kmmpuan satu2 segimna
@bluevers789,2024-07-14T04:19:54Z,1,"Good Luck, banyakin program sprt ini."
@yuyunoke1956,2024-07-14T04:14:34Z,1,orang pintar makan micin GK yahh
@user-xi3pf9xd9v,2024-07-14T04:11:01Z,0,"Semoga pemerintahan kita melek karna acara ini, liat nih bnyk bgt org2 pintar yg bisa jd aset negara , penerus generasi bangsa   harusnya di sokong  jgn smpe kerja di negara org , memajukan negara org , bukan apa udh bnyk bgt contoh nya"
@hafizah_syaaaa2,2024-07-14T04:08:15Z,1,pls gara2 clash of champions aku jadi semangat belajar nya❤
@fernandajulian1768,2024-07-14T04:04:42Z,1,Acara yg sanggat2 bermutu..
@ClayBurn-ih3ey,2024-07-14T04:03:34Z,0,UTM manaa yaa
@rizkiayuanggraeni608,2024-07-14T04:03:19Z,0,"Merinding dari awal sampe aakhir.., ya allah"
@wahyupratamawahyupratama5965,2024-07-14T04:01:31Z,1,Masyaallah setiap hari aq berdoa semoga anakku menjadi anak sholeh yg cerdas semoga allah wujudkan aamiin
@iwansetiadi1780,2024-07-14T03:55:42Z,1,"Ini yg harusnya viral,bukan 2 bulan udh haji :)"
@ranikurniawati-vj3rk,2024-07-14T03:49:23Z,1,"Mereka yang pinter,aku yang nonton bangga banget 😭,
Wajib viral ini mah🥳🥳"
@nasridawaty1442,2024-07-14T03:44:57Z,1,Kereeeennnn
@rizkiarmaya4006,2024-07-14T03:37:20Z,1,Thanks for your efforts Ibnu 🎉
@violaalvionita,2024-07-14T03:32:18Z,2,Denger suara MC nya berasa nonton Squid Game 😭
@b4g6y,2024-07-14T03:25:12Z,0,kenapa gada Fakultas Hukum woy
@nurmiftahhanifa,2024-07-14T03:18:33Z,0,almamater ku UNS ndak ada ya T_T
@user-sn4rp8sv6d,2024-07-14T03:15:54Z,0,Keren..
@auliaikaatika887,2024-07-14T03:13:10Z,0,"Ai nya gak eror ya, ini keren mendukung"
@GimangGaming28,2024-07-14T02:57:58Z,0,Keren
@imasteja2797,2024-07-14T02:49:44Z,0,"adain lomba serupa buat mak2 dong biar seru, kelompok umur dengan background bebas"
@SUKA_JAJANAN,2024-07-14T02:36:00Z,0,Yang lagi hamil wajib nonton ini biar nular cerdasnya
@sinkaaprilia833,2024-07-14T02:32:27Z,0,waktu dibacain profilnya bikin merinding
@dirtyzee8428,2024-07-14T02:28:02Z,0,ORANG ORANG KEREN
@BukarieYatno,2024-07-14T02:23:46Z,0,"Ku kira jiwa kompetitor ku bakalan muncul saat nonton ini. Elah dalah malah jiwa kebapak bapakan yg ngimpi nontonin anak nya ada di situ 😢.
InsyaAllah... Aamiin..."
@Makrigashanum,2024-07-14T01:59:04Z,2,Pinter2 bgt sampe merinding nonton mereka 😮
@AREMISable,2024-07-14T01:52:17Z,2,MasyaAllah.. ❤
@slametnurhidayat1950,2024-07-14T01:22:02Z,2,"Om dedy Corbuzier harus undang paara pemenang nih... Bahas cara belajar, biografi kehidupan Nya"
@deniwidyaningsih1572,2024-07-14T01:16:02Z,2,MasyaAllah sampe nangis liat mereka sangking pinter2nya. Yaa Allah smg anak anakku kelak bs seperti mereka
@bgstind-raya8025,2024-07-14T00:29:18Z,1,Percuma pinter gk bisa jadi wapres 🤭
@doni7889.,2024-07-14T00:28:48Z,1,ya Allah ini insecure bngt bagi aku😭
@ZaraAneera,2024-07-14T00:20:56Z,1,Nelen ludah terus denger prestasi2 mrk😥😂
@lalalafixyou,2024-07-14T00:14:33Z,1,jujur merinding
@soviahriyani3005,2024-07-14T00:05:14Z,1,Hebatya Nama2 kalian terkenal dari Ruang guru. Tanpa Ruang Guru Orang2 berprestasi kaya kalian gak akan kita kenal. Karena pemerintah gk menyokong kalian untuk mengembangkan semua bakat kalian..
@pertym.paembang5240,2024-07-13T23:25:46Z,1,"Acara2 berkualitas gini yang perlu di perbanyak biar memotivasi anak muda Indonesia ke arah yang positif, kalau bisa jangan cuma untuk mahasiswa saja tapi mulai dari tingkat SD, SMP dan SMA juga"
@nirwasita5744,2024-07-13T22:45:28Z,1,Pasti tim sandy ❤❤❤
@nun8047,2024-07-13T22:44:11Z,2,"Penyesalan emang diakhir, yg diawal bener bener sebuah kesempatan 🔥"
