text_clean,sentiment,score
konsultasi klaim diskon https bit ly klaimdiskoncoc,neutral,0.996866762638092
upi,neutral,0.8108837008476257
moga anak2ku kelak prestasi allah,positive,0.9795589447021484
vibes main squid game deh,positive,0.9138766527175903
keren abis,positive,0.9974320530891418
tonton mutu moga acara,positive,0.5163165330886841
sukak banget acara kya gin,positive,0.995974600315094
orang pinter neng nontonin orang pinter bijak,negative,0.9583174586296082
ajing keren ningkatin semangat ajar keren pokok,positive,0.9890121221542358
banget mak lihat uda bangga emak,positive,0.9944015145301819
naksir banget brian,positive,0.9545572400093079
gk kampus gw coba gtu,negative,0.8083105683326721
hujat orang banget kaca aset harga negeri udh bangga negara kontribusi dlm didik hujat hmm,negative,0.9950138926506042
sadar gas menit 38 41 udh axel nus,neutral,0.9437006711959839
seru ni jaman skolah suka guru suka ngasih2 challenge kyak gin kliatan kmmpuan satu2 segimna,positive,0.9839491248130798
good luck banyakin program sprt,positive,0.9736717939376831
orang pintar makan micin gk yahh,negative,0.8684380650520325
moga perintah melek acara lihat banget orang orang pintar aset negara terus generasi bangsa sokong smpe kerja negara org maju negara org udh banget contoh,negative,0.9923912882804871
gara2 clash champions semangat ajar,positive,0.973957359790802
acara sanggat2 mutu,negative,0.9964379072189331
utm manaa,negative,0.9657147526741028
merinding aakhir allah,negative,0.6823808550834656
masyaallah doa moga anak anak sholeh cerdas moga allah wujud aamiin,positive,0.9777276515960693
viral 2 udh haji,negative,0.6024090647697449
pinter nonton bangga banget wajib viral mah,positive,0.9949325919151306
kereeeennnn,positive,0.9888132214546204
terima kasih efforts ibnu,positive,0.9728550314903259
denger suara mc asa nonton squid game,neutral,0.9802226424217224
gada fakultas hukum,negative,0.9912682771682739
almamater uns t t,neutral,0.5030388832092285
keren,positive,0.9971580505371094
ai eror keren dukung,negative,0.9979281425476074
keren,positive,0.9971580505371094
adain lomba mak2 biar seru kelompok umur background bebas,positive,0.8189085125923157
hamil wajib nonton biar nular cerdas,positive,0.8995600342750549
dibacain profil bikin merinding,negative,0.8595178723335266
orang orang keren,positive,0.9947763681411743
jiwa kompetitor muncul nonton elah dalah jiwa bapak bapa ngimpi nontonin anak situ insyaallah aamiin,positive,0.8995034098625183
pinter2 banget merinding nonton,positive,0.9645959734916687
masyaallah,positive,0.9869580864906311
om dedy corbuzier undang paara menang nih bahas ajar biografi hidup,neutral,0.9891021251678467
masyaallah menang lihat sangking pinter2nya allah smg anak anak kelak,positive,0.9872695207595825
pinter gk wapres,positive,0.6854930520057678
allah insecure bngt,positive,0.9830873608589172
nelen ludah denger prestasi2 mrk,negative,0.932720959186554
jujur merinding,positive,0.9682774543762207
hebatya nama2 kenal ruang guru ruang guru orang2 prestasi kaya kenal perintah gk sokong kembang bakat,positive,0.9507744908332825
acara2 kualitas gin banyak biar motivasi anak muda indonesia arah positif mahasiswa tingkat sd smp,positive,0.9852061867713928
tim sandy,neutral,0.8404048085212708
sesal emang akhir awal sempat,negative,0.9962956309318542
acara patut lestari tambah tahu,positive,0.9662729501724243
mahasiswa genre ips menang,positive,0.69413161277771
yesaya sombong kwkkw keren,negative,0.9970446228981018
unsurya,positive,0.8920856714248657
hibur miskin bodoh ngomong ngomong plissss tayangin ditv nasional muak cinta gosip,negative,0.997947633266449
salah fokus isi suara aurora,negative,0.9669848680496216
cipta jerome polin2,neutral,0.9911143183708191
tayang bagus generasi anak muda semangat anak muda bangun bangsa budaya,positive,0.944769024848938
nonton kaya gin seru deg deg,positive,0.9737970232963562
brownis host,positive,0.38333451747894287
xaviera yah,neutral,0.6289475560188293
tv2 tyngin kya gin donk biar ank2 bangsa pacu smngt bljr ngk joget2 tiktok,negative,0.9447142481803894
orang hebat hebat hebat moga,positive,0.988710343837738
kerennn acaranyaa,positive,0.9967356324195862
suka acara,positive,0.9946405291557312
masyaallah tabarakallah orang orang hebat prestasi bangga banget liat akutuh sholawatin anak moga prestasi apa suka positif aamiin,positive,0.9903990626335144
orang tua gagal,negative,0.9975321292877197
nan,positive,0.5520075559616089
jawab 4608,neutral,0.9713869094848633
kaya university war,positive,0.9038622379302979
fahmi said orang hebat pilih orang hebat org hebat,negative,0.6887639760971069
jawabannha 1618,neutral,0.9832141399383545
kompetisi pas tambah 10 universitas asa ketar tir,neutral,0.9758492708206177
masuk tetep hebat kakak kakak keren,positive,0.995796799659729
nonton lihat cuplikan2 kayak seru seru,positive,0.9843430519104004
suka banget lihat kak jessica,positive,0.9927539229393005
seruuu,positive,0.9962116479873657
cowonya ngondek gaya,negative,0.9927619099617004
bangga,positive,0.9965233206748962
sumpah lihat males,negative,0.9981289505958557
umur orang2 cerdas,positive,0.9916129112243652
menang banget nonton otak ngebull,positive,0.9912950992584229
hebat banget kakak2 motivasi ajar giat kejar ilmu,positive,0.9953102469444275
otak paspasan ngang ngong,negative,0.9925891160964966
sarah cantik banget,positive,0.995843231678009
kereeennn,positive,0.9915221929550171
adik ruang guru b alhamdulillah masuk unj,neutral,0.9766769409179688
nan,positive,0.5520075559616089
hahaha yesaya kocak,positive,0.9329931139945984
gin konten kualitas podcast isi yt keren ruang guru,positive,0.9207517504692078
coba undang wapres 24 29,neutral,0.9979835748672485
nonton kaya gin tuh jiwa ambisnya menyalaaaaaa sayankkkk arghhhh hahaha pedahal ngerasa pinter kaya gin tuh kaya gregetttt jujur haru banget merinding lihat orang pinter tuhhhh moga anak rakasya udh prestasi kaya,positive,0.9835583567619324
suka acara iniii moga depan indonesia tayang anak muda pintar bakat prestasi settingan,positive,0.9938188195228577
keren banget parahhh,positive,0.9053979516029358
asikkk dehhh kaya squid gameee,positive,0.9955680966377258
sumpah acara era anak2 muda penuh jedagjedug sosmed muncul acara asa nonton acara negri nonton bawa situasi posisi keren menang babak tonton doank,negative,0.9561823606491089
takut hujat netizen,negative,0.9970771074295044
alumni krapelin,neutral,0.9035134315490723
doa orang tua moga anak anak pintar cerdas bejo,positive,0.9775388836860657
kakak kakak lolos sedih kecewa marah insecure cerdas orang tua nonton bangga panggil clash champions,negative,0.9920058846473694
bukti ugm kreatif,positive,0.9887077808380127
udh nonton versi korea versi indonesia,neutral,0.8963150382041931
masyaallah moga anak sandy pinternya,positive,0.9929700493812561
pen ikuttttt,negative,0.9846072793006897
lolos kalean banget masuk kesitu merinding tonton yeah kalean orang hebat,negative,0.8042219281196594
keren keren banget,positive,0.9968572854995728
keren parah lihat lolos smpe haru,positive,0.7605676054954529
keren ruangguru jhet,positive,0.9943543672561646
disruption era olimpiade ruang guru,neutral,0.9942095279693604
ikut lihat angka udh klojotan,neutral,0.962091326713562
moga anak pinter kaya,positive,0.9930016398429871
keren banget acara,positive,0.9966776371002197
real orang pinter,positive,0.9563809633255005
merindiiing,negative,0.9501564502716064
sedih gk lolos disni hebat banget,negative,0.7381349802017212
menang kalah sumpah keren bangettt,positive,0.9963033199310303
berandai2 kelak anak lomba betapa bangga hati,positive,0.896569013595581
kesini lihat fit toktok seru bangett,positive,0.9960826635360718
nan,positive,0.5520075559616089
hebat,positive,0.9968439340591431
deh,positive,0.9927131533622742
respect editor keren,positive,0.9948675632476807
kasi pulang,negative,0.48183152079582214
orang pinter indonesia emang kurang anak muda indonesia dunia prestasi wakil presiden salah,negative,0.9968065023422241
orang otak pinter banget lag suruh mikir nyut2an,negative,0.990604817867279
sdm,neutral,0.5132905840873718
semangat kereen,positive,0.992404043674469
finallyyy tonton manfaat gin indo,positive,0.8452418446540833
ken anak gin sholawat bu ajarin anak metode ajar,negative,0.6916864514350891
kagum kagum,positive,0.9950319528579712
diri ruang guru menteri didik bos gojek,neutral,0.9971147775650024
ayoo naufal semangaaaat,positive,0.9744699001312256
ken menang mudah sebenernya akal hitung 3 digit depan aja 1 digit tinggal trial error cuz batas salah,negative,0.8992974758148193
wow kaget prestasi afmam asean foundation model asean meeting plus japan federasi guru independen indonesia fgii jakarta ada afmam indonesia asean level siswa derajat resmi endors asean foundation siswa jakarta ketemu oktober 2024 free,neutral,0.8479102253913879
nan,positive,0.5520075559616089
mahasiswa indonesia prestasi univ negri min,neutral,0.9862499237060547
akhirnyaa university war versi indonesiaa sukaa akuu netizen suka nyinyirr konten2 ytb g brmutuu udh disuguhin mermutuuu viralinlahhh,positive,0.6973052024841309
hoping eng sub huhuhuhu,positive,0.7000829577445984
sesat kesini gara2 sliweran fb acara kualitas nih,negative,0.996729850769043
bayangin usaha keras pintar,negative,0.6532962918281555
nama game kena uu hak,negative,0.8732047080993652
ut ut,neutral,0.5803463459014893
keren banget bik event keren nge influence artis selebgram,positive,0.9945958256721497
yesaya sumbar msuk babak 3,neutral,0.9960261583328247
kuliah unair angkat 2013 ipk 3 90 andai acara gni greget ken ikut,neutral,0.9139382839202881
beli chimory sponsor acara bagus,positive,0.9940930008888245
season 1 bikin anak2 derajat min,positive,0.9511173963546753
acara keren bangetttt viralkan yukk biar anak indonesia smakin smangat bljar,positive,0.9871715903282166
semangat eliminasi udh coba keren banget,positive,0.9958504438400269
seorangg anak umur 3 5 kandung anak bersholawat nonton moga akuu suami sama sukses anak2 moga allah jadi anak2 pribadi otak cerdas santun peka aamiinn yaallah,positive,0.9720088243484497
oliv bus uda elim round,neutral,0.9891575574874878
ruang guru best main coc beneran generasi bangsa patut bangga thank sdh bikin acara worth generasi bangsa,positive,0.9927923679351807
muka muka orang jenius,negative,0.9934031367301941
seru acara adik dekan aja otak,positive,0.8315408825874329
seru banget acara,positive,0.9965320825576782
rumah tangga wkwkwkwkw seru heboh,positive,0.9869549870491028
daftar ajar ruang guru penuh kualifikasi,neutral,0.9827914834022522
tonton kasih,neutral,0.5007089376449585
ukur pintar cerdas matematika yaaaa always mat,positive,0.9773077964782715
babak pilih kali habis hasil kali,negative,0.7257909774780273
acara gengsi indonesia didik banyak2 acara kualitas bobot bangga lihat merinding lihat anak anak bakat succes sehat,positive,0.5994844436645508
nongkrong bengong doang kali,negative,0.9974282383918762
emak2 ken banget anak pinter peserta2 game,positive,0.9189914464950562
acara kualitas nih auto subscribe,neutral,0.9944426417350769
moga indonesia acara biar motivasi,positive,0.9014251232147217
bahaya emang soang soang jebak,negative,0.9978653788566589
kaya gin acara wajib televisi biar didik tingkat minat anak dlm ajar,positive,0.5877338647842407
gin viral bukane sekop sekop viral,negative,0.988177478313446
marketing ruang guru,neutral,0.9903851747512817
sumpah yesaya ngeselin banget,negative,0.9858909845352173
karina maoudy min,neutral,0.5260965824127197
gara gara emak nonton suruh les deh umur 32,neutral,0.5982205271720886
orang pintar cocok masuk pemerintahaan,positive,0.9637795686721802
sigma bintang skibidi,neutral,0.969452977180481
indonesia emas 2045,positive,0.6028053760528564
bicara enak gie jalur bang,positive,0.9854539632797241
kerennn,positive,0.9970130920410156
orang cerdas dunia kerja rintis pegawai umur hidup org jalan sukses,positive,0.9624658823013306
unhas gk lolos bangga unhas bangga kak ibnu,negative,0.8602460622787476
plissssss ruang guru moga tetep 20 anak masuk sekolah,positive,0.9383777379989624
vidio bermaafaat anak sekolah,positive,0.9604988694190979
allohuma sholli ala sayyidina muhammad moga anak semangat haus ilmu maasyaalloh,positive,0.9492887258529663
asa lihat gifted series semangat adek2,positive,0.7719817161560059
keren acara keren keren membuli acara serta,positive,0.9928312301635742
abang lolos,positive,0.5333753824234009
bayangin jerome polin,negative,0.9866839051246643
nonton doa moga anak mrk aamiin,positive,0.8562196493148804
universitas kakak,positive,0.5933266282081604
daftar tni ronde 1,neutral,0.9945205450057983
bismillah allah moga anak bangga tonton,positive,0.9905228018760681
keren banget,positive,0.997103750705719
yesaya ngeremehin ronde 1 kowkowkowkwokwo,negative,0.9907845258712769
ums,positive,0.47394073009490967
sadar kevin,negative,0.9532182812690735
deg2an eh nontontnya anakq suka,negative,0.9182016849517822
nama insyecure,neutral,0.9284350872039795
lomba anime class elite,neutral,0.9134696125984192
situ menang wkwkwkwkwkkw,positive,0.7117213010787964
hitung mules liat sukses anak2 hebat moga anak hebat pintar sukses amiinn,positive,0.9440097808837891
flexingnya gin kusukaa merindingg wkwkw sukses selaluuu ruang guru,positive,0.986809253692627
q tau lihat podcast bang densu,neutral,0.969389796257019
yesaya kliatan sombong ny remeh banget sm ronde 1 gk lolos,negative,0.99818354845047
kereeen saudara laki laki semangat,positive,0.9821528792381287
nonton shalawatin smoga anak kelak pintar aamiin,positive,0.9489964842796326
kali lihat acara kualitas keren variety korea acara bikin deg2an gk ngitung,positive,0.9869568347930908
allah cimory minum ny anak moga wija otak ny nular kakak2,positive,0.8775907158851624
gaya edit ala2 acara korea,positive,0.9383453726768494
bikin seru ipk 4 0 sulit challenge prediksi kirain langsung lolos sulit faktor faktor salah,negative,0.9954732060432434
maasyaa alllah,positive,0.9288930296897888
ngerjain deg degan,negative,0.7983772158622742
sandi gada eps,negative,0.7572284936904907
nonton video motivasi ajar jam rebah,neutral,0.991956353187561
gooo,positive,0.9508989453315735
mas opang proud,neutral,0.5149787664413452
takut hujat hebat,negative,0.9932250380516052
dukung acara kualitas,positive,0.9775350093841553
nonton gin netesin air mata banyakin program pleasa,negative,0.7733771800994873
bjir nge hujat orang pinter ajh gk pinter belike,negative,0.9973822236061096
sumpahhhh acara keren bangett bangettttttt,positive,0.9968727231025696
mrinding nonton,negative,0.7047044038772583
keren banget anak uin masuk,positive,0.9955800175666809
dibanyakin acara positif,positive,0.851656436920166
nunggu trend acara,negative,0.49584290385246277
someone good mathematics considered smart,positive,0.6422491073608398
paham iri fakta emang iri dg orang kah otak jenius apalg plus trlahir dr keluarga mapan asah mampu explore giat fokus ajar puji syukur emang bodoh juara kelas jenius kampus ketemu orang mampu jg jujur orang pandang dunia intelektual emang bagus tarik situ iri ken jenius lulus ipk 3 cumlaude dg juang uda brsyukur,negative,0.6583424806594849
ibnu unhas,neutral,0.9431833028793335
salut serta champions,positive,0.9946481585502625
netizen suka hujat iri,negative,0.9955754280090332
moga generasi orang anti sistim raja indonesia,negative,0.9914807081222534
televisi indonesia angkat acara biar motivasi adek adek indonesia,neutral,0.47315528988838196
kasih nilai hitung kalah chalenge 2 penasaran gmn ngerjain,negative,0.9717802405357361
nunggu update nonton 2x,neutral,0.7220415472984314
ruang guru yah mahasiswa,neutral,0.5882266163825989
tonton didik gaisss,positive,0.5230007767677307
yesaya sok round 1 round 2,neutral,0.7572116255760193
minder lihat orang orang prestasi pintar bidang,negative,0.9979121088981628
nonton iri cerdas harap moga anak2ku kelak manusia2 hebat bakat guna,positive,0.9411132335662842
merinding banget nonton episode nonton turnamen,negative,0.6759023070335388
kereennnnnnnnnnnn,positive,0.9930586814880371
